xs ys xt yt xl yl xa ya
0.000000 0.000000 1.000000 0.000000 1.002600 0.000000 1.000000 0.096000
0.000000 0.000000 0.999984 0.006324 1.002576 0.006540 1.337293 0.095999
0.000000 0.000000 0.999928 0.012648 1.002496 0.013078 1.674586 0.095999
0.000000 0.000000 0.999833 0.018971 1.002359 0.019613 2.011878 0.095998
0.000000 0.000000 0.999699 0.025294 1.002166 0.026144 2.349170 0.095997
0.000000 0.000000 0.999526 0.031616 1.001918 0.032668 2.686463 0.095996
0.000000 0.000000 0.999314 0.037936 1.001614 0.039184 3.023755 0.095996
0.000000 0.000000 0.999062 0.044256 1.001255 0.045690 3.361048 0.095995
0.000000 0.000000 0.998772 0.050573 1.000843 0.052186 3.698340 0.095994
0.000000 0.000000 0.998442 0.056889 1.000378 0.058669 4.035633 0.095994
0.000000 0.000000 0.998073 0.063203 0.999861 0.065139 4.372925 0.095993
0.000000 0.000000 0.997664 0.069515 0.999293 0.071593 4.710217 0.095992
0.000000 0.000000 0.997217 0.075824 0.998676 0.078032 5.047509 0.095991
0.000000 0.000000 0.996730 0.082130 0.998009 0.084453 5.384801 0.095991
0.000000 0.000000 0.996204 0.088433 0.997295 0.090857 5.722094 0.095990
0.000000 0.000000 0.995639 0.094733 0.996535 0.097242 6.059386 0.095989
0.000000 0.000000 0.995035 0.101030 0.995730 0.103608 6.396678 0.095989
0.000000 0.000000 0.994391 0.107322 0.994881 0.109953 6.733970 0.095988
0.000000 0.000000 0.993709 0.113611 0.993990 0.116278 7.071262 0.095987
0.000000 0.000000 0.992987 0.119896 0.993058 0.122582 7.408555 0.095986
0.000000 0.000000 0.992226 0.126176 0.992086 0.128865 7.745847 0.095986
0.000000 0.000000 0.991426 0.132451 0.991075 0.135127 8.083139 0.095985
0.000000 0.000000 0.990587 0.138721 0.990028 0.141367 8.420432 0.095984
0.000000 0.000000 0.989709 0.144986 0.988944 0.147586 8.757725 0.095984
0.000000 0.000000 0.988792 0.151246 0.987826 0.153783 9.095017 0.095983
0.000000 0.000000 0.987836 0.157500 0.986675 0.159959 9.432310 0.095982
